hi,1200d,1970,9.0
chevrolet,c20,1970,10.0
ford,f250,1970,10.0
dodge,d200,1970,11.0
mercury,marquis,1972,11.0
chevrolet,impala,1973,11.0
oldsmobile,omega,1973,11.0
dodge,monaco (sw),1971,12.0
oldsmobile,delta 88 royale,1972,12.0
buick,electra 225 custom,1973,12.0
ford,country,1973,12.0
mercury,marquis brougham,1973,12.0
oldsmobile,vista cruiser,1973,12.0
ford,country squire (sw),1971,13.0
pontiac,safari (sw),1971,13.0
buick,lesabre custom,1972,13.0
chevrolet,chevelle concours (sw),1972,13.0
chevrolet,impala,1972,13.0
chrysler,newport royal,1972,13.0
ford,gran torino (sw),1972,13.0
amc,ambassador brougham,1973,13.0
buick,century 350,1973,13.0
chevrolet,caprice classic,1973,13.0
chevrolet,malibu,1973,13.0
chrysler,new yorker brougham,1973,13.0
ford,ltd,1973,13.0
plymouth,custom suburb,1973,13.0
buick,century luxus (sw),1974,13.0
ford,mustang ii,1975,13.0
chevrolet,c10,1976,13.0
dodge,d100,1976,13.0
ford,f108,1976,13.0
plymouth,volare premier v8,1976,13.0
buick,estate wagon (sw),1970,14.0
chevrolet,impala,1970,14.0
plymouth,'cuda 340,1970,14.0
plymouth,fury iii,1970,14.0
pontiac,catalina,1970,14.0
chevrolet,impala,1971,14.0
ford,galaxie 500,1971,14.0
plymouth,fury iii,1971,14.0
pontiac,catalina brougham,1971,14.0
ford,galaxie 500,1972,14.0
plymouth,satellite custom (sw),1972,14.0
pontiac,catalina,1972,14.0
amc,matador,1973,14.0
ford,gran torino,1973,14.0
plymouth,fury gran sedan,1973,14.0
amc,matador (sw),1974,14.0
dodge,coronet custom (sw),1974,14.0
ford,gran torino (sw),1974,14.0
ford,ltd,1975,14.0
ford,gran torino,1976,14.5
amc,ambassador dpl,1970,15.0
buick,skylark 320,1970,15.0
chevrolet,monte carlo,1970,15.0
dodge,challenger se,1970,15.0
ford,galaxie 500,1970,15.0
amc,matador (sw),1972,15.0
plymouth,fury iii,1972,15.0
chevrolet,monte carlo s,1973,15.0
dodge,coronet custom,1973,15.0
dodge,dart custom,1973,15.0
chevrolet,nova,1974,15.0
amc,matador,1975,15.0
chevrolet,bel air,1975,15.0
ford,maverick,1975,15.0
mercury,monarch,1975,15.0
mercury,cougar brougham,1977,15.0
amc,matador,1976,15.5
chevrolet,monte carlo landau,1977,15.5
chrysler,cordoba,1977,15.5
dodge,monaco brougham,1977,15.5
ford,country squire (sw),1979,15.5
amc,rebel sst,1970,16.0
plymouth,satellite custom,1971,16.0
chevrolet,nova custom,1973,16.0
pontiac,grand prix,1973,16.0
amc,matador,1974,16.0
chevrolet,chevelle malibu classic,1974,16.0
ford,gran torino,1974,16.0
chevrolet,chevelle malibu,1975,16.0
plymouth,grand fury,1975,16.0
pontiac,catalina,1975,16.0
dodge,coronet brougham,1976,16.0
ford,thunderbird,1977,16.0
pontiac,grand prix lj,1977,16.0
peugeot,604sl,1978,16.2
cadillac,seville,1976,16.5
mercedes,280s,1976,16.5
mercury,grand marquis,1979,16.5
buick,estate wagon (sw),1979,16.9
ford,torino,1970,17.0
chevrolet,chevelle malibu,1971,17.0
amc,ambassador sst,1972,17.0
buick,century,1975,17.0
oldsmobile,cutlass supreme,1977,17.0
volvo,264gl,1978,17.0
chevrolet,caprice classic,1979,17.0
amc,pacer d/l,1976,17.5
chevrolet,chevelle malibu classic,1976,17.5
chevrolet,caprice classic,1977,17.5
chevrolet,concours,1977,17.5
dodge,magnum xe,1978,17.5
ford,ltd landau,1979,17.6
chrysler,lebaron salon,1981,17.6
buick,regal sport coupe (turbo),1978,17.7
amc,hornet,1970,18.0
chevrolet,chevelle malibu,1970,18.0
plymouth,satellite,1970,18.0
amc,hornet sportabout (sw),1971,18.0
amc,matador,1971,18.0
ford,mustang,1971,18.0
volvo,145e (sw),1972,18.0
amc,gremlin,1973,18.0
amc,hornet,1973,18.0
ford,maverick,1973,18.0
mazda,rx3,1973,18.0
plymouth,valiant,1973,18.0
plymouth,satellite sebring,1974,18.0
chevrolet,nova,1975,18.0
ford,pinto,1975,18.0
plymouth,fury,1975,18.0
ford,granada ghia,1976,18.0
amc,concord d/l,1978,18.1
ford,futura,1978,18.1
dodge,st. regis,1979,18.2
pontiac,ventura sj,1976,18.5
ford,granada,1977,18.5
chrysler,lebaron town @ country (sw),1979,18.5
dodge,aspen,1978,18.6
amc,gremlin,1971,19.0
ford,torino 500,1971,19.0
pontiac,firebird,1971,19.0
mazda,rx2 coupe,1972,19.0
ford,pinto,1973,19.0
volvo,144ea,1973,19.0
amc,hornet,1974,19.0
amc,pacer,1975,19.0
plymouth,valiant custom,1975,19.0
peugeot,504,1976,19.0
toyota,mark ii,1976,19.0
plymouth,volare custom,1977,19.0
dodge,aspen,1980,19.1
chevrolet,monte carlo landau,1978,19.2
pontiac,phoenix lj,1978,19.2
chevrolet,malibu classic (sw),1979,19.2
amc,concord,1978,19.4
dodge,diplomat,1978,19.4
mercury,zephyr 6,1979,19.8
oldsmobile,cutlass salon brougham,1978,19.9
chevrolet,vega,1972,20.0
audi,100ls,1973,20.0
toyota,carina,1973,20.0
toyota,mark ii,1973,20.0
plymouth,duster,1974,20.0
amc,gremlin,1975,20.0
chevrolet,monza 2+2,1975,20.0
dodge,aspen se,1976,20.0
volvo,245,1976,20.0
ford,fairmont (auto),1978,20.2
mercury,monarch ghia,1978,20.2
amc,concord dl 6,1979,20.2
ford,granada gl,1981,20.2
audi,5000,1978,20.3
buick,skylark,1977,20.5
chevrolet,malibu,1978,20.5
plymouth,volare,1978,20.5
buick,century special,1978,20.6
dodge,aspen 6,1979,20.6
mercury,zephyr,1978,20.8
amc,gremlin,1970,21.0
ford,maverick,1970,21.0
ford,pinto runabout,1972,21.0
peugeot,504 (sw),1972,21.0
chevrolet,vega,1973,21.0
mercury,capri v6,1973,21.0
ford,maverick,1974,21.0
buick,skyhawk,1975,21.0
toyota,celica gt liftback,1978,21.1
bmw,320i,1977,21.5
mazda,rx-4,1977,21.5
pontiac,lemans v6,1979,21.5
saab,99gle,1978,21.6
plymouth,duster,1970,22.0
chevrolet,vega (sw),1971,22.0
ford,pinto (sw),1972,22.0
volkswagen,411 (sw),1972,22.0
datsun,610,1973,22.0
volvo,244dl,1975,22.0
chevrolet,nova,1976,22.0
plymouth,valiant,1976,22.0
datsun,810,1977,22.0
ford,granada l,1982,22.0
ford,fairmont 4,1979,22.3
buick,century,1981,22.4
amc,hornet,1976,22.5
mercury,capri 2000,1971,23.0
toyota,corona mark ii (sw),1972,23.0
volkswagen,type 3,1972,23.0
plymouth,duster,1973,23.0
audi,100ls,1975,23.0
ford,pinto,1975,23.0
peugeot,504,1975,23.0
pontiac,astro,1975,23.0
cadillac,eldorado,1979,23.0
amc,concord dl,1982,23.0
plymouth,sapporo,1978,23.2
chevrolet,citation,1981,23.5
ford,mustang cobra,1980,23.6
mazda,rx-7 gs,1980,23.7
oldsmobile,starfire sx,1978,23.8
datsun,200-sx,1978,23.9
oldsmobile,cutlass salon brougham,1979,23.9
audi,100 ls,1970,24.0
toyota,corona mark ii,1970,24.0
toyota,corona hardtop,1972,24.0
opel,manta,1973,24.0
saab,99le,1973,24.0
fiat,128,1974,24.0
honda,civic,1974,24.0
datsun,710,1975,24.0
toyota,corona,1975,24.0
ford,maverick,1976,24.0
ford,fairmont futura,1982,24.0
datsun,810 maxima,1981,24.2
amc,concord,1980,24.3
chevrolet,woody,1976,24.5
pontiac,sunbird coupe,1977,24.5
peugeot,504,1970,25.0
saab,99e,1970,25.0
ford,pinto,1971,25.0
toyota,corona,1971,25.0
dodge,colt hardtop,1972,25.0
chevrolet,vega,1974,25.0
saab,99le,1975,25.0
volkswagen,dasher,1975,25.0
capri,ii,1976,25.0
opel,1900,1976,25.0
buick,century limited,1982,25.0
ford,fairmont (man),1978,25.1
mercedes,benz 300d,1979,25.4
toyota,cressida,1981,25.4
ford,mustang ii 2+2,1977,25.5
plymouth,arrow gs,1977,25.5
dodge,aries wagon (sw),1981,25.8
bmw,2002,1970,26.0
volkswagen,1131 deluxe sedan,1970,26.0
plymouth,cricket,1971,26.0
renault,12 (sw),1972,26.0
fiat,124 sport coupe,1973,26.0
volkswagen,super beetle,1973,26.0
fiat,124 tc,1974,26.0
ford,pinto,1974,26.0
opel,manta,1974,26.0
subaru,,1974,26.0
volkswagen,dasher,1974,26.0
dodge,colt,1976,26.0
toyota,corolla liftback,1977,26.0
chrysler,lebaron medallion,1982,26.0
ford,fairmont,1980,26.4
ford,pinto,1976,26.5
buick,skylark,1981,26.6
oldsmobile,cutlass ls,1981,26.6
oldsmobile,omega brougham,1979,26.8
datsun,pl510,1970,27.0
datsun,pl510,1971,27.0
volkswagen,model 111,1971,27.0
toyota,corolla 1600 (sw),1972,27.0
renault,12tl,1976,27.0
chevrolet,camaro,1982,27.0
chevrolet,cavalier wagon,1982,27.0
ford,mustang gl,1982,27.0
pontiac,phoenix,1982,27.0
datsun,510,1978,27.2
peugeot,504,1979,27.2
plymouth,reliant,1981,27.2
amc,spirit dl,1979,27.4
toyota,corona,1978,27.5
dodge,colt,1980,27.9
chevrolet,vega 2300,1971,28.0
opel,1900,1971,28.0
datsun,510 (sw),1972,28.0
dodge,colt (sw),1972,28.0
dodge,colt,1974,28.0
fiat,131,1976,28.0
toyota,corolla,1976,28.0
chevrolet,citation,1980,28.0
chevrolet,cavalier,1982,28.0
ford,ranger,1982,28.0
peugeot,505s turbo diesel,1981,28.1
buick,skylark limited,1979,28.4
chevrolet,citation,1979,28.8
fiat,128,1973,29.0
audi,fox,1974,29.0
toyota,corolla,1975,29.0
volkswagen,rabbit,1975,29.0
chevrolet,chevette,1976,29.0
volkswagen,rabbit,1976,29.0
volkswagen,rabbit custom,1977,29.0
dodge,aries se,1982,29.0
volkswagen,rabbit,1976,29.5
honda,accord lx,1978,29.5
toyota,corona liftback,1980,29.8
volkswagen,rabbit,1980,29.8
ford,escort 2h,1981,29.9
fiat,124b,1971,30.0
peugeot,304,1971,30.0
buick,opel isuzu deluxe,1977,30.0
subaru,dl,1977,30.0
chevrolet,chevette,1978,30.0
mercedes,240d,1980,30.0
plymouth,reliant,1981,30.0
chevrolet,chevette,1977,30.5
volkswagen,dasher,1977,30.5
volvo,diesel,1981,30.7
dodge,omni,1978,30.9
toyota,corolla 1200,1971,31.0
datsun,b210,1974,31.0
fiat,x1.9,1974,31.0
toyota,corona,1974,31.0
chevrolet,s-10,1982,31.0
mazda,glc custom,1982,31.0
pontiac,j2000 se hatchback,1982,31.0
mazda,626,1980,31.3
honda,accord cvcc,1977,31.5
volkswagen,scirocco,1978,31.5
mazda,626,1981,31.6
datsun,210,1979,31.8
volkswagen,rabbit custom,1979,31.9
datsun,710,1974,32.0
toyota,corolla 1200,1974,32.0
datsun,b-210,1976,32.0
dodge,rampage,1982,32.0
honda,civic (auto),1982,32.0
toyota,celica gt,1982,32.0
chevrolet,chevette,1980,32.1
toyota,corolla,1980,32.2
subaru,,1981,32.3
honda,accord,1980,32.4
toyota,corolla,1981,32.4
datsun,280-zx,1980,32.7
mazda,glc deluxe,1978,32.8
datsun,200sx,1981,32.9
honda,civic cvcc,1975,33.0
honda,civic,1976,33.0
volkswagen,jetta,1981,33.0
datsun,f-10 hatchback,1977,33.5
dodge,colt m/m,1977,33.5
pontiac,phoenix,1979,33.5
honda,prelude,1981,33.7
subaru,dl,1980,33.8
chevrolet,cavalier 2-door,1982,34.0
toyota,corolla,1982,34.0
mazda,glc deluxe,1979,34.1
mazda,glc 4,1981,34.1
plymouth,horizon,1979,34.2
audi,4000,1980,34.3
ford,escort 4w,1981,34.4
plymouth,horizon tc3,1979,34.5
renault,18i,1981,34.5
plymouth,horizon 4,1981,34.7
datsun,1200,1971,35.0
triumph,tr7 coupe,1980,35.0
honda,civic 1300,1981,35.1
dodge,colt hatchback custom,1979,35.7
renault,5 gtl,1977,36.0
dodge,charger 2.2,1982,36.0
honda,accord,1982,36.0
mercury,lynx l,1982,36.0
nissan,stanza xe,1982,36.0
volkswagen,rabbit l,1982,36.0
ford,fiesta,1978,36.1
honda,civic cvcc,1978,36.1
audi,5000s (diesel),1980,36.4
datsun,510 hatchback,1980,37.0
datsun,210 mpg,1981,37.0
mazda,glc custom l,1982,37.0
datsun,310,1980,37.2
fiat,strada custom,1979,37.3
toyota,tercel,1981,37.7
datsun,310 gx,1982,38.0
honda,civic,1982,38.0
oldsmobile,cutlass ciera (diesel),1982,38.0
plymouth,horizon miser,1982,38.0
toyota,corolla tercel,1980,38.1
plymouth,champ,1981,39.0
toyota,starlet,1981,39.1
datsun,b210 gx,1978,39.4
datsun,210,1980,40.8
renault,lecar deluxe,1980,40.9
volkswagen,rabbit,1980,41.5
volkswagen,rabbit custom diesel,1978,43.1
volkswagen,dasher (diesel),1980,43.4
volkswagen,pickup,1982,44.0
volkswagen,rabbit c (diesel),1980,44.3
honda,civic 1500 gl,1980,44.6
mazda,glc,1980,46.6
